node,degree,betweenness,eigenvector
Regina Hall,13,5.618147443929024e-05,0.006525732000966117
Julia Ormond,13,0.00011986378342643118,0.03637995193115202
Tyler Labine,13,0.00010300473454870397,0.022227610959215053
Andrew Garfield,13,0.0004299638723777071,0.014816314334058679
Eddie Izzard,13,9.14137000103948e-05,0.021822157908595752
Daniel Roebuck,13,0.0004057635909047719,0.009133210555410486
Laz Alonso,13,0.0001251106041418742,0.00987608543491687
Rupert Grint,13,8.188693042202777e-05,0.017533154103624462
Jamie Kennedy,13,0.00018757706100056297,0.01204076233372976
Frankie Muniz,13,0.00017820119016977217,0.012454560688831086
Deborah Kara Unger,13,0.00013554123684715282,0.01357168440709724
Josh Charles,12,0.0001496618879880493,0.017668498670871478
Victor Wong,12,0.00019040908721281276,0.009798328093583941
Richard Roxburgh,12,0.0001179541740688946,0.018071851429740646
Matt Walsh,12,0.00012085741242206037,0.01198371745188581
Sarah Gadon,12,9.389567157278295e-05,0.015356602587188134
Corbin Bernsen,12,0.00015220068096005447,0.008171765514764938
Jeremy Northam,12,0.0004721518200719684,0.0052347293539739435
Anne Bancroft,12,0.0001595874247980647,0.012361211008384871
Dan Fogler,12,0.00032171575086399027,0.009360728207661177
Celia Weston,12,0.00016207961973968929,0.005593078223181092
Vinessa Shaw,12,0.0008853754169046124,0.006815152088642157
Elizabeth Perkins,12,0.00021936329635293417,0.012580004673505674
Patrick Fugit,12,0.00014360617032756304,0.00765419899868236
Miriam Margolyes,12,0.0001258285944594613,0.0016428822053741105
Fred Ward,12,0.00024255673987691185,0.006930912155311874
Molly Shannon,12,0.00010480919258273065,0.019017479401059634
David Keith,12,0.0007077697296925463,0.00752092646996234
Tracy Morgan,12,0.0001076306740857553,0.01701420891076047
Kelli Garner,12,0.00011093701956546391,0.003984898021997504
Tate Donovan,12,0.0002984935073487559,0.011268792345126137
Ashley Scott,12,0.00013966604762365503,0.007324452842643158
Chris Penn,12,0.0001738013646995188,0.019473271617846392
Oprah Winfrey,12,0.00020957991700720524,0.019610678202274263
Alice Braga,12,0.0003816823422946328,0.009892245232110533
Brian Blessed,12,0.00023632594794977717,0.02167836048601313
Zack Ward,12,0.0005895606551861508,0.0030571132215360874
Michael O'Neill,12,0.0002565044448826606,0.022654191264950232
Madeline Carroll,12,0.00010960802024732382,0.008440424379202055
Judge Reinhold,12,8.274742320616491e-05,0.010429166350507847
Kathleen Quinlan,12,0.00011222067253602232,0.013105995850119503
Liam Aiken,12,0.00024196784226626522,0.010790152748950857
Ioan Gruffudd,12,0.0003790070696197985,0.010303969497819622
Mary Elizabeth Mastrantonio,12,0.00021724857312238233,0.012824689244725246
Isabella Rossellini,12,0.0002697129819942,0.01896986941225354
Maura Tierney,12,7.659141441997375e-05,0.016549105669340574
Teri Polo,12,0.0003261987351270173,0.045536031391833126
Kane Hodder,12,0.00021018292156831472,0.001260701984562922
Brad Garrett,12,0.00011708110106700149,0.007516388871711032
M.C. Gainey,12,6.257928184602902e-05,0.007911000264223046
Dash Mihok,12,6.952920122016879e-05,0.0023529786174076852
Tony Cox,12,0.0001971470095693158,0.008578586059347791
Alia Shawkat,12,0.00012102393732356888,0.00917300468394956
Andre Braugher,12,0.000123235089695848,0.01730314322502472
Bruce Spence,12,0.00017515378062451825,0.006806148751741512
Hunter Parrish,12,5.804420717173815e-05,0.01825058338921203
Jane Krakowski,12,8.050637202517277e-05,0.010606972277832057
Li Gong,12,0.0004307287047406036,0.0011158405783974715
Justin Theroux,12,0.00019101918946786965,0.016685842151746164
Melanie Griffith,12,0.00036246135137494494,0.003424642217733432
Kurt Fuller,12,9.3919802818421e-05,0.019366349051263096
Jack McBrayer,12,4.242006496117155e-05,0.011612902491965135
James Ransone,12,0.000211251995911201,0.0048474187196704535
Chris Bauer,12,0.000181349395276978,0.02628033906567991
Alex Pettyfer,12,0.00014726201922236212,0.010864724817288824
Lois Maxwell,12,0.0001613090891413532,0.000797867379492487
Bridgette Wilson-Sampras,12,0.00011478177571080021,0.0068108444008760025
Carol Kane,12,0.00024884537105879185,0.014073088089034956
Dane Cook,12,0.00018383910842430798,0.011362106962996402
