actor,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years
America Ferrera,8,6.9875,8.2,121496.5,485430.0,10,12.0
Carolyn Hennesy,1,6.4,6.4,305340.0,305340.0,2,0.0
Nick Stahl,3,7.0,7.6,157901.66666666666,305340.0,6,5.0
Djimon Hounsou,15,6.426666666666667,8.5,215592.13333333333,982637.0,13,17.0
Bradley Cooper,20,6.534999999999999,8.1,194491.55,682155.0,15,10.0
Matthew McConaughey,26,6.7423076923076914,8.6,142089.1923076923,928227.0,15,20.0
Mackenzie Foy,4,7.949999999999999,8.6,317160.5,928227.0,11,3.0
Atsuko Maeda,2,8.2,8.2,374.0,374.0,5,0.0
Shin'ya Tsukamoto,2,8.2,8.2,374.0,374.0,5,0.0
Mark Chinnery,2,8.2,8.2,374.0,374.0,5,0.0
Jordana Brewster,7,6.128571428571428,6.7,141368.0,272227.0,9,16.0
Julia Ormond,7,6.885714285714286,7.8,108124.57142857143,459346.0,11,19.0
Jason Flemyng,20,6.465000000000001,8.3,168749.5,600996.0,16,19.0
Philip Seymour Hoffman,25,7.132,8.2,139816.76,537419.0,14,19.0
Josh Hutcherson,15,6.553333333333332,7.6,155522.66666666666,701607.0,14,12.0
Robert Capron,1,6.1,6.1,124185.0,124185.0,4,0.0
Nicolas Cage,34,6.152941176470588,7.7,97292.88235294117,283967.0,15,30.0
Omar Benson Miller,5,6.02,7.2,74287.2,187181.0,9,9.0
Mike Vogel,7,6.442857142857142,8.1,141434.42857142858,318955.0,10,6.0
Andre Braugher,6,6.3999999999999995,7.3,120274.83333333333,245621.0,10,14.0
Justin Timberlake,10,5.9,7.4,121028.4,304318.0,13,7.0
Eric Idle,9,5.655555555555556,8.3,99258.33333333333,382240.0,8,33.0
Rupert Everett,9,6.099999999999999,7.2,83423.55555555556,314630.0,10,13.0
Callum Rennie,11,6.354545454545455,8.5,139356.9090909091,845580.0,13,17.0
Ruth Negga,2,7.800000000000001,8.3,67228.5,111609.0,5,0.0
Dominic Cooper,11,6.9,8.3,122477.18181818182,508818.0,14,10.0
Matt Smith,3,6.266666666666666,6.6,74063.0,188457.0,6,6.0
Emilia Clarke,2,7.1,7.6,116590.0,188457.0,5,1.0
Laura Brent,1,6.3,6.3,106446.0,106446.0,3,0.0
Bruce Spence,6,6.55,7.7,117248.83333333333,160321.0,10,29.0
Jaime King,6,5.433333333333333,6.1,84522.16666666667,254111.0,10,8.0
Mako,11,5.945454545454544,7.3,82482.45454545454,254111.0,14,26.0
Jennifer Garner,15,6.7,8.0,171623.8,525801.0,14,16.0
Michael O'Neill,6,6.849999999999999,7.6,141579.66666666666,513158.0,12,18.0
Zack Ward,6,6.816666666666666,8.4,122780.83333333333,513158.0,9,33.0
Brian Blessed,7,7.042857142857143,7.8,47957.57142857143,138863.0,11,32.0
Anthony Hopkins,30,6.856666666666668,8.6,133805.03333333333,887467.0,16,36.0
Fiona Shaw,4,6.425,7.5,243597.5,444683.0,7,18.0
Robert Pattinson,8,6.2125,7.6,215790.0,385670.0,6,7.0
Charlize Theron,24,6.554166666666668,8.1,129475.91666666667,552503.0,16,20.0
Alice Braga,6,7.0,8.7,279984.0,533200.0,8,11.0
Willow Smith,2,6.95,7.2,267794.5,530870.0,4,1.0
David Kelly,4,6.574999999999999,7.7,141176.5,320284.0,7,9.0
Janeane Garofalo,11,6.318181818181818,8.0,94804.90909090909,473887.0,12,11.0
Brian Dennehy,9,6.688888888888889,8.0,120163.0,473887.0,11,25.0
Cedric the Entertainer,10,6.159999999999999,7.0,73819.1,266636.0,11,12.0
Jada Pinkett Smith,18,6.4944444444444445,8.4,80289.72222222222,293662.0,16,23.0
Bernie Mac,14,6.064285714285714,7.8,63234.357142857145,402645.0,13,13.0
Robin Williams,27,6.574074074074076,8.3,108605.77777777778,604904.0,17,27.0
Steve Coogan,17,6.311764705882353,7.6,101702.23529411765,307539.0,11,21.0
Rami Malek,5,5.82,6.5,113944.6,234480.0,9,8.0
Dominic Monaghan,1,6.7,6.7,361924.0,361924.0,5,0.0
Collin Chou,1,6.7,6.7,364948.0,364948.0,2,0.0
Nona Gaye,2,5.5,6.7,208148.5,364948.0,5,2.0
Essie Davis,2,6.65,6.7,233643.0,364948.0,6,5.0
Livvy Stubenrauch,1,7.6,7.6,421658.0,421658.0,6,0.0
Josh Gad,8,6.5125,7.6,137116.5,421658.0,12,8.0
Maurice LaMarche,3,6.8,7.6,193034.0,421658.0,7,9.0
Steve Bastoni,3,6.566666666666667,7.2,160274.0,421818.0,7,12.0
Helmut Bakaitis,1,7.2,7.2,421818.0,421818.0,2,0.0
Daniel Bernhardt,1,7.2,7.2,421818.0,421818.0,2,0.0
Natalie Portman,20,6.854999999999999,8.2,246244.35,791783.0,12,20.0
Zoë Kravitz,8,6.450000000000001,8.1,118032.0,552503.0,8,9.0
Armin Mueller-Stahl,5,6.92,7.8,127713.6,261069.0,8,13.0
Ayelet Zurer,6,6.466666666666666,7.6,64672.666666666664,207839.0,6,11.0
Diedrich Bader,8,5.6,7.8,87474.0,200293.0,9,13.0
James Lipton,1,6.9,6.9,146766.0,146766.0,5,0.0
Kelli Garner,6,6.300000000000001,7.4,44390.333333333336,114762.0,11,9.0
Niecy Nash,1,5.1,5.1,33042.0,33042.0,7,0.0
Piper Mackenzie Harris,2,5.449999999999999,5.8,16950.0,33042.0,9,1.0
Edgar Ramírez,9,6.466666666666667,8.1,106899.22222222222,491077.0,10,11.0
Lily James,4,7.0,8.2,92397.25,152826.0,8,3.0
Jeremy Renner,12,7.016666666666666,7.6,179430.5,365104.0,14,12.0
Sean Harris,5,6.720000000000001,7.4,158023.0,456260.0,7,6.0
Simon Merrells,2,5.4,5.8,45476.0,89442.0,5,5.0
Art Malik,3,6.633333333333333,7.4,57293.0,89442.0,7,26.0
Rip Torn,13,6.0,7.9,90141.61538461539,403014.0,15,25.0
Oprah Winfrey,6,6.816666666666666,7.8,58545.833333333336,105902.0,11,29.0
Matthew Broderick,16,6.5125,8.5,97486.1875,644348.0,13,28.0
Mike Bell,1,7.3,7.3,182718.0,182718.0,5,0.0
Aasif Mandvi,4,5.95,6.7,122151.0,213863.0,9,4.0
Noah Ringer,1,4.2,4.2,118951.0,118951.0,4,0.0
Seychelle Gabriel,1,4.2,4.2,118951.0,118951.0,4,0.0
