Id,Label,movies_credited,degree,weighted_degree
Jason Scott Lee,,4,8,8
Garrick Hagon,,1,2,2
Dalip Singh,,1,2,2
Steve Reevis,,1,2,2
Lauren Gottlieb,,2,4,4
Paul Michael Glaser,,2,4,4
Joseph Sikora,,2,4,4
Nellie Sciutto,,1,2,2
Katy Mixon,,5,10,10
Drew Carey,,1,2,2
Paula Abdul,,1,2,2
Carmen Electra,,9,17,18
Kathryn Joosten,,1,2,2
Jennifer Jason Leigh,Jennifer Jason Leigh,15,27,30
Liam Aiken,,6,12,12
Bailee Madison,,5,10,10
Charlie Cox,,1,2,2
Elden Henson,,7,14,14
Royce Johnson,,1,2,2
Dave Chappelle,,10,19,20
Monica Potter,,8,13,16
Cameron Boyce,,2,4,4
Ethan Embry,Ethan Embry,11,22,22
Jodi Benson,,1,2,2
Sam Lloyd,,1,2,2
Lili Taylor,,9,18,18
Virginia Madsen,Virginia Madsen,12,24,24
Michael Jordan,,2,3,4
Henry Czerny,,3,6,6
Roger Rees,,7,14,14
William Abadie,,1,2,2
Juan Riedinger,,2,2,4
Alex McArthur,,1,2,2
Michael Potts,,1,2,2
Jim Parrack,,2,4,4
Josh Robert Thompson,,1,2,2
Tom Cavanagh,,2,4,4
Charles Napier,,5,10,10
Zahn McClarnon,,1,2,2
Leslie Bibb,,9,18,18
Nicholas Turturro,,4,8,8
June Lockhart,,2,4,4
Dorian Missick,,9,16,18
Jose Pablo Cantillo,,6,10,12
Michael Brandon,,1,2,2
Fran Drescher,,2,4,4
Agnes Moorehead,,2,4,4
Dick York,,1,2,2
Elizabeth Montgomery,,1,2,2
Penn Jillette,,1,2,2
